vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
                                  self=0.6 (0.6) us, cum=0.6 (0.6) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:83 _computePiercingPowerRandomizationImpl()
                                self=2.4 (0.6) us, cum=2.4 (0.6) us, calls=4                               scripts/common/items/vehicle_items.py:783 kind()
                                self=1.9 (1.9) us, cum=2.3 (2.3) us, calls=1                               scripts/common/items/components/gun_installation_components.py:53 isMainInstallation()
                                  self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/common/items/components/gun_installation_components.py:30 isMainInstallationIndex()
                                self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                  self=1.4 (1.4) us, cum=1.4 (1.4) us, calls=1                               scripts/client/AvatarInputHandler/aih_global_binding.py:104 _isChanged()
              self=19.5 (19.5) us, cum=41.1 (41.1) us, calls=1                           scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1013 update()
                self=7.3 (7.3) us, cum=7.3 (7.3) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:969 _updateMatrixProvider()
                self=5.0 (0.6) us, cum=6.4 (0.7) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
                  self=1.4 (0.2) us, cum=1.4 (0.2) us, calls=9                               ~:0 <built-in method isPlaying>()
                self=3.2 (3.2) us, cum=5.9 (5.9) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1341 _makeWorldMatrix()
                  self=1.7 (1.7) us, cum=1.7 (1.7) us, calls=1                               ~:0 <built-in method makeWorldMatrix>()
                  self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               ~:0 <built-in method screenResolution>()
                self=1.7 (0.3) us, cum=1.7 (0.3) us, calls=5                               scripts/client/BattleReplay.py:243 <lambda>()
                self=1.7 (1.7) us, cum=1.7 (1.7) us, calls=1                               ~:0 <built-in method checkAndRecalculateIfPositionInExtremeProjection>()
                self=1.4 (1.4) us, cum=1.6 (1.6) us, calls=1                               scripts/client/BattleReplay.py:859 setArcadeGunMarkerSize()
                  self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               ~:0 <built-in method setArcadeGunMarkerSize>()
                self=1.1 (0.6) us, cum=1.1 (0.6) us, calls=2                               ~:0 <built-in method markerHelperScale>()
                self=1.1 (1.1) us, cum=1.1 (1.1) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:929 update()
                self=1.0 (0.5) us, cum=1.0 (0.5) us, calls=2                               scripts/client/BattleReplay.py:248 <lambda>()
                self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               ~:0 <built-in method updateSizes>()
                self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1065 _replayWriter()
                self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method setTranslate>()
                self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1059 _getMarkerSize()
              self=2.3 (2.3) us, cum=3.7 (3.7) us, calls=1                               scripts/client/aih_constants.py:154 fromGunMarkerInfo()
                self=0.8 (0.8) us, cum=1.4 (1.4) us, calls=1                               <string>:8 __new__()
                  self=2.2 (0.6) us, cum=2.2 (0.6) us, calls=4                               ~:0 <built-in method __new__ of type object at 0x00007FFF83FEA260>()
              self=3.4 (0.6) us, cum=3.4 (0.6) us, calls=6                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
              self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1049 getSizes()
        self=8.6 (8.6) us, cum=65.7 (65.7) us, calls=1                             scripts/client/VehicleGunRotator.py:1001 __getGunMarkerInfo()
          self=5.8 (5.8) us, cum=48.6 (48.6) us, calls=1                             scripts/client/VehicleGunRotator.py:1077 __getCappedShotTargetInfo()
            self=5.3 (5.3) us, cum=36.8 (36.8) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:350 getCappedShotTargetInfos()
              self=9.5 (4.7) us, cum=46.6 (23.3) us, calls=2                             scripts/client/ProjectileMover.py:418 __init__()
                self=5.9 (1.5) us, cum=49.5 (12.4) us, calls=4                             scripts/client/Vehicle.py:1422 getMatinfo()
